communal_territory_id,nuts1_2010_code,nuts2_2010_code,nuts3_2010_code,nuts1_2021_code,nuts2_2021_code,nuts3_2021_code
201,ITC,ITC1,ITC11,ITC,ITC1,ITC11
2,ITC,ITC1,ITC12,ITC,ITC1,ITC12
3,ITC,ITC1,ITC15,ITC,ITC1,ITC15
4,ITC,ITC1,ITC16,ITC,ITC1,ITC16
5,ITC,ITC1,ITC17,ITC,ITC1,ITC17
6,ITC,ITC1,ITC18,ITC,ITC1,ITC18
96,ITC,ITC1,ITC13,ITC,ITC1,ITC13
103,ITC,ITC1,ITC14,ITC,ITC1,ITC14
7,ITC,ITC2,ITC20,ITC,ITC2,ITC20
12,ITC,ITC4,ITC41,ITC,ITC4,ITC41
13,ITC,ITC4,ITC42,ITC,ITC4,ITC42
14,ITC,ITC4,ITC44,ITC,ITC4,ITC44
215,ITC,ITC4,ITC4C,ITC,ITC4,ITC4C
16,ITC,ITC4,ITC46,ITC,ITC4,ITC46
17,ITC,ITC4,ITC47,ITC,ITC4,ITC47
18,ITC,ITC4,ITC48,ITC,ITC4,ITC48
19,ITC,ITC4,ITC4A,ITC,ITC4,ITC4A
20,ITC,ITC4,ITC4B,ITC,ITC4,ITC4B
97,ITC,ITC4,ITC43,ITC,ITC4,ITC43
98,ITC,ITC4,ITC49,ITC,ITC4,ITC49
108,ITC,ITC4,ITC4D,ITC,ITC4,ITC4D
21,ITH,ITH1,ITH10,ITH,ITH1,ITH10
22,ITH,ITH2,ITH20,ITH,ITH2,ITH20
23,ITH,ITH3,ITH31,ITH,ITH3,ITH31
24,ITH,ITH3,ITH32,ITH,ITH3,ITH32
25,ITH,ITH3,ITH33,ITH,ITH3,ITH33
26,ITH,ITH3,ITH34,ITH,ITH3,ITH34
227,ITH,ITH3,ITH35,ITH,ITH3,ITH35
28,ITH,ITH3,ITH36,ITH,ITH3,ITH36
29,ITH,ITH3,ITH37,ITH,ITH3,ITH37
30,ITH,ITH4,ITH42,ITH,ITH4,ITH42
31,ITH,ITH4,ITH43,ITH,ITH4,ITH43
32,ITH,ITH4,ITH44,ITH,ITH4,ITH44
93,ITH,ITH4,ITH41,ITH,ITH4,ITH41
8,ITC,ITC3,ITC31,ITC,ITC3,ITC31
9,ITC,ITC3,ITC32,ITC,ITC3,ITC32
210,ITC,ITC3,ITC33,ITC,ITC3,ITC33
11,ITC,ITC3,ITC34,ITC,ITC3,ITC34
33,ITH,ITH5,ITH51,ITH,ITH5,ITH51
34,ITH,ITH5,ITH52,ITH,ITH5,ITH52
35,ITH,ITH5,ITH53,ITH,ITH5,ITH53
36,ITH,ITH5,ITH54,ITH,ITH5,ITH54
237,ITH,ITH5,ITH55,ITH,ITH5,ITH55
38,ITH,ITH5,ITH56,ITH,ITH5,ITH56
39,ITH,ITH5,ITH57,ITH,ITH5,ITH57
40,ITH,ITH5,ITH58,ITH,ITH5,ITH58
99,ITH,ITH5,ITH59,ITH,ITH5,ITH59
99,ITI,ITI3,ITI31,ITH,ITH5,ITH59
45,ITI,ITI1,ITI11,ITI,ITI1,ITI11
46,ITI,ITI1,ITI12,ITI,ITI1,ITI12
47,ITI,ITI1,ITI13,ITI,ITI1,ITI13
248,ITI,ITI1,ITI14,ITI,ITI1,ITI14
49,ITI,ITI1,ITI16,ITI,ITI1,ITI16
50,ITI,ITI1,ITI17,ITI,ITI1,ITI17
51,ITI,ITI1,ITI18,ITI,ITI1,ITI18
52,ITI,ITI1,ITI19,ITI,ITI1,ITI19
53,ITI,ITI1,ITI1A,ITI,ITI1,ITI1A
100,ITI,ITI1,ITI15,ITI,ITI1,ITI15
54,ITI,ITI2,ITI21,ITI,ITI2,ITI21
55,ITI,ITI2,ITI22,ITI,ITI2,ITI22
41,ITI,ITI3,ITI31,ITI,ITI3,ITI31
42,ITI,ITI3,ITI32,ITI,ITI3,ITI32
43,ITI,ITI3,ITI33,ITI,ITI3,ITI33
44,ITI,ITI3,ITI34,ITI,ITI3,ITI34
109,ITI,ITI3,ITI35,ITI,ITI3,ITI35
56,ITI,ITI4,ITI41,ITI,ITI4,ITI41
57,ITI,ITI4,ITI42,ITI,ITI4,ITI42
258,ITI,ITI4,ITI43,ITI,ITI4,ITI43
59,ITI,ITI4,ITI44,ITI,ITI4,ITI44
60,ITI,ITI4,ITI45,ITI,ITI4,ITI45
66,ITF,ITF1,ITF11,ITF,ITF1,ITF11
67,ITF,ITF1,ITF12,ITF,ITF1,ITF12
68,ITF,ITF1,ITF13,ITF,ITF1,ITF13
69,ITF,ITF1,ITF14,ITF,ITF1,ITF14
70,ITF,ITF2,ITF22,ITF,ITF2,ITF22
94,ITF,ITF2,ITF21,ITF,ITF2,ITF21
61,ITF,ITF3,ITF31,ITF,ITF3,ITF31
62,ITF,ITF3,ITF32,ITF,ITF3,ITF32
263,ITF,ITF3,ITF33,ITF,ITF3,ITF33
64,ITF,ITF3,ITF34,ITF,ITF3,ITF34
65,ITF,ITF3,ITF35,ITF,ITF3,ITF35
71,ITF,ITF4,ITF46,ITF,ITF4,ITF46
272,ITF,ITF4,ITF47,ITF,ITF4,ITF47
73,ITF,ITF4,ITF43,ITF,ITF4,ITF43
74,ITF,ITF4,ITF44,ITF,ITF4,ITF44
75,ITF,ITF4,ITF45,ITF,ITF4,ITF45
110,ITF,ITF4,ITF48,ITF,ITF4,ITF48
76,ITF,ITF5,ITF51,ITF,ITF5,ITF51
77,ITF,ITF5,ITF52,ITF,ITF5,ITF52
78,ITF,ITF6,ITF61,ITF,ITF6,ITF61
79,ITF,ITF6,ITF63,ITF,ITF6,ITF63
280,ITF,ITF6,ITF65,ITF,ITF6,ITF65
101,ITF,ITF6,ITF62,ITF,ITF6,ITF62
102,ITF,ITF6,ITF64,ITF,ITF6,ITF64
81,ITG,ITG1,ITG11,ITG,ITG1,ITG11
282,ITG,ITG1,ITG12,ITG,ITG1,ITG12
283,ITG,ITG1,ITG13,ITG,ITG1,ITG13
84,ITG,ITG1,ITG14,ITG,ITG1,ITG14
85,ITG,ITG1,ITG15,ITG,ITG1,ITG15
86,ITG,ITG1,ITG16,ITG,ITG1,ITG16
287,ITG,ITG1,ITG17,ITG,ITG1,ITG17
88,ITG,ITG1,ITG18,ITG,ITG1,ITG18
89,ITG,ITG1,ITG19,ITG,ITG1,ITG19
