id,state_code,name
1,Z000,ITALIA
2,Z100,ALBANIA
3,Z101,ANDORRA
4,Z102,AUSTRIA
5,Z103,BELGIO
6,Z104,BULGARIA
7,Z105,CECOSLOVACCHIA
8,Z106,CITTA' DEL VATICANO
9,Z107,DANIMARCA
10,Z108,FAER OER (ISOLE)
11,Z109,FINLANDIA
12,Z110,FRANCIA
13,Z111,GERMANIA REPUB. DEMOCRATICA
14,Z112,GERMANIA REPU. FEDERALE
15,Z113,GIBILTERRA
16,Z114,REGNO UNITO
17,Z115,GRECIA
18,Z116,IRLANDA
19,Z117,ISLANDA
20,Z118,JUGOSLAVIA
21,Z119,LIECHTENSTEIN
22,Z120,LUSSEMBURGO
23,Z121,MALTA COMINO GOZO (ISOLE)
24,Z122,MAN (ISOLE)
25,Z123,PRINCIPATO DI MONACO
26,Z124,NORMANNE (ISOLE)
27,Z125,NORVEGIA
28,Z126,PAESI BASSI
29,Z127,POLONIA
30,Z128,PORTOGALLO
31,Z129,ROMANIA
32,Z130,SAN MARINO
33,Z131,SPAGNA
34,Z132,SVEZIA
35,Z133,SVIZZERA
36,Z134,UNGHERIA
37,Z135,URSS
38,Z138,UCRAINA
39,Z139,BIELORUSSIA
40,Z140,MOLDAVIA
41,Z143,UZBEKISTAN
42,Z144,ESTONIA
43,Z145,LETTONIA
44,Z146,LITUANIA
45,Z148,MACEDONIA
46,Z149,CROAZIA
47,Z150,SLOVENIA
48,Z151,TURKEMENISTAN
49,Z152,KAZAKISTAN
50,Z153,BOSNIA-ERZEGOVINA
51,Z154,RUSSIA
52,Z155,REPUBBLICA SLOVACCA
53,Z156,REPUBBLICA CECA
54,Z157,SERBIA MONTENEGRO
55,Z158,SERBIA
56,Z159,MONTENEGRO
57,Z160,KOSOVO
58,Z200,AFGHANISTAN
59,Z201,ARABIA MERIDIONALE FEDERAZIONE
60,Z202,ARABIA MERIDIONALE PROTETT.
61,Z203,ARABIA SAUDITA
62,Z204,BAHREIN
63,Z205,BHUTAN
64,Z206,BIRMANIA
65,Z207,BRUNEI
66,Z208,CAMBOGIA
67,Z209,CEYLON
68,Z210,CINESE REPUB. POPOLARE
69,Z211,CIPRO
70,Z212,COCOS (ISOLE)
71,Z213,COREA (REPUBBLICA DI)
72,Z214,COREA (REPUBB. POPOLARE)
73,Z215,COSTA DEI PIRATI
74,Z216,FILIPPINE
75,Z217,FORMOSA O TAIWAN
76,Z218,GAZA (TERRITORIO DI)
77,Z219,GIAPPONE
78,Z220,GIORDANIA
79,Z221,HONG KONG
80,Z222,INDIA
81,Z223,INDONESIA
82,Z224,IRAN
83,Z225,IRAQ
84,Z226,ISRAELE
85,Z227,KUWAIT
86,Z228,LAOS
87,Z229,LIBANO
88,Z230,MALAYSIA
89,Z231,MACAO
90,Z232,MALDIVE
91,Z233,MONGOLIA REP. POPOLARE
92,Z234,NEPAL
93,Z235,OMAN
94,Z236,PAKISTAN
95,Z237,QATAR
96,Z238,RYUKYU (ISOLE)
97,Z239,SIKKIM
98,Z240,SIRIA
99,Z241,THAILANDIA
100,Z242,TIMOR
101,Z243,TURCHIA
102,Z244,VIETNAM DEL SUD
103,Z245,VIETNAM DEL NORD
104,Z246,YEMEN
105,Z247,MALESIA
106,Z248,SINGAPORE
107,Z249,BANGLA DESH
108,Z251,VIETNAM
109,Z252,ARMENIA
110,Z254,GEORGIA
111,Z259,UZBEKISTAN
112,Z300,AFRICA DEL SUD-OVEST
113,Z301,ALGERIA
114,Z302,ANGOLA
115,Z303,BASUTOLAND
116,Z304,BECIUANIA
117,Z305,BURUNDI
118,Z306,CAMERUN
119,Z307,CAPO VERDE (ISOLA)
120,Z308,CENTRAFRICANA REPUBBLICA
121,Z309,CIAD
122,Z310,COMORE
123,Z311,CONGO BRAZZAVILLE
124,Z312,CONGO EX ZAIRE
125,Z313,COSTA D'AVORIO
126,Z314,BENIN
127,Z315,ETIOPIA
128,Z316,GABON
129,Z317,GAMBIA
130,Z318,GHANA
131,Z319,GUINEA
132,Z320,GUINEA PORTOGHESE
133,Z321,GUINEA SPAGNOLA
134,Z322,KENYA
135,Z323,IFNI
136,Z324,LA REUNION (ISOLE)
137,Z325,LIBERIA
138,Z326,LIBIA
139,Z327,MADAGASCAR
140,Z328,MALAWI
141,Z329,MALI
142,Z330,MAROCCO
143,Z331,MAURITANIA
144,Z332,MAURIZIO (ISOLE)
145,Z333,MOZAMBICO
146,Z334,NIGER
147,Z335,NIGERIA
148,Z336,EGITTO
149,Z337,RHODESIA
150,Z338,RUANDA
151,Z339,SAHARA SPAGNOLO
152,Z340,SANT'ELENA (ISOLA)
153,Z341,SAO TOME' E PRINCIPE (ISOLE)
154,Z342,SEICELLE (ISOLE)
155,Z343,SENEGAL
156,Z344,SIERRA LEONE
157,Z345,SOMALIA
158,Z346,SOMALIA FRANCESE
159,Z347,SUDAFRICANA REPUBBLICA
160,Z348,SUDAN
161,Z349,SWAZILAND
162,Z350,TANGANICA
163,Z351,TOGO
164,Z352,TUNISIA
165,Z353,UGANDA
166,Z354,BURKINA FASO
167,Z355,ZAMBIA
168,Z356,ZANZIBAR
169,Z357,TANZANIA
170,Z358,BOTSWANA
171,Z359,LESOTHO
172,Z360,MAYOTTE
173,Z361,GIBUTI
174,Z368,ERITREA
175,Z400,BERMUDE (ISOLE)
176,Z401,CANADA
177,Z402,GROENLANDIA
178,Z403,S. PIERRE E MIQUELON
179,Z404,STATI UNITI D'AMERICA
180,Z500,ANTILLE BRITANNICHE
181,Z501,ANTILLE OLANDESI
182,Z502,BAHAMA (ISOLE)
183,Z503,COSTA RICA
184,Z504,CUBA
185,Z505,DOMINICANA REPUBBLICA
186,Z506,EL SALVADOR
187,Z507,GIAMAICA
188,Z508,GUADALUPA
189,Z509,GUATEMALA
190,Z510,HAITI
191,Z511,HONDURAS
192,Z512,HONDURAS BRITANNICO
193,Z513,MARTINICA
194,Z514,MESSICO
195,Z515,NICARAGUA
196,Z516,PANAMA
197,Z517,PANAMA ZONA DEL CANALE
198,Z518,PUERTO RICO
199,Z519,TURKS E CAICOS (ISOLE)
200,Z520,VERGINI (ISOLE) AMERICANE
201,Z522,BARBADOS
202,Z532,SAINT LUCIA
203,Z600,ARGENTINA
204,Z601,BOLIVIA
205,Z602,BRASILE
206,Z603,CILE
207,Z604,COLOMBIA
208,Z605,ECUADOR
209,Z606,GUAYANA BRITANNICA
210,Z607,GUAYANA FRANCESE
211,Z608,GUAYANA OLANDESE
212,Z609,MALVINE O FALKLAND
213,Z610,PARAGUAY
214,Z611,PERU'
215,Z612,TRINIDAD O TOBAGO
216,Z613,URUGUAY
217,Z614,VENEZUELA
218,Z700,AUSTRALIA
219,Z701,CAROLINE (ISOLE)
220,Z702,CHRISTMAS (ISOLE)
221,Z703,COOK
222,Z704,FIGI O VITI (ISOLE)
223,Z705,GILBERT E ELLICE (ISOLE)
224,Z706,GUAM (ISOLE)
225,Z707,IRIAN OCCIDENTALE
