id,name,description,vehicle_make_id
4410,124 Spider,s,2409
3857,500,s,2409
4139,595,s,2409
4293,695,s,2409
3797,Grande Punto,s,2409
4126,Punto,s,2409
3980,Punto Evo,s,2409
777,Cobra,n,323
1645,Off 4WD/Serie 10,s,1024
4823,U5,s,2799
3006,300/400,s,416
3372,500,s,416
3634,A.721,s,416
3635,A.741,s,416
3846,City,s,416
4176,Coupé,s,416
3750,Crossline 1ª serie,s,416
3848,Crossline 2ª serie,s,416
4689,Crossline Evo,s,416
4105,Crossover,s,416
4387,D-Truck 400,s,416
4826,E-Truck,s,416
4103,GTO,s,416
3526,Mega,n,416
3991,Minauto,s,416
3847,Roadline,s,416
3632,Scouty,s,416
2559,145,n,83
2640,146,n,83
3147,147,n,83
3529,147 2ª serie,s,83
2134,155,n,83
2989,156 1ª serie,s,83
3405,156 2ª serie,s,83
3601,159,n,83
1131,164,n,83
3032,166,n,83
3433,166 2ª serie,s,83
37,33,n,83
4224,4C,s,83
39,75,n,83
41,Alfa 6,n,83
40,Alfa 90,n,83
1449,Alfasud,n,83
1491,Alfetta,n,83
43,Alfetta GT/GTV,s,83
36,Arna,n,83
3631,Brera,n,83
4426,Giulia (2016),s,83
352,Giulietta,n,83
3956,Giulietta (2010-21),s,83
3446,GT,n,83
2646,Gtv/Spider,s,83
3854,MiTo,s,83
44,Spider,n,83
3683,Spider (2006-2011),s,83
42,Sprint,n,83
4475,Stelvio,s,83
1553,SZ/RZ,s,83
4869,Tonale,s,83
4563,ATX,s,2771
4286,XT,s,2771
2994,B10         (95-04),s,160
3034,B3             (98),s,160
3818,B3          (08-11),s,160
3084,B3          (99-05),s,160
4045,B5          (09-11),s,160
3638,B5        (2005-->),s,160
3762,B6        (2003-->),s,160
3636,D3          (05-11),s,160
3414,Roadster,s,160
3504,Roadster S,s,160
4572,A110,n,2780
1385,Serie S berlina,s,700
3406,Lublin 3,s,2386
158,Speedster,n,333
3272,Atom,n,2345
3530,Atom 2,n,2345
4094,Atom 3,n,2345
4415,Nomad,n,2345
692,Serie 10,s,180
693,Serie 240,s,180
2035,Rocsta,n,1421
4033,Cygnet,s,74
45,DB S/V8,s,74
4425,DB11,s,74
2408,DB7,n,74
3435,DB9,s,74
4191,DB9 2ª serie,s,74
3798,DBS (2007-2013),s,74
4615,DBS (2019-->),s,74
4744,DBX,s,74
46,Lagonda,s,74
3973,Rapide,s,74
4192,Rapide S,s,74
3212,V12,n,74
3620,V8 Vantage,s,74
4147,Vanquish,s,74
4605,Vantage,s,74
4493,Vantage GT8,s,74
4046,Virage,s,74
1550,Virage/V8/Vantage,s,74
162,100/200/V8,s,161
159,80/90/Cabrio,s,161
4575,A1 2ª serie,s,161
3968,A1/S1,s,161
3095,A2,n,161
2867,A3 1ª serie,s,161
3388,A3 2ª serie,s,161
4146,A3 3ª serie,s,161
4686,A3 4ª serie,s,161
4452,A3 Sportback e-tron,s,161
2634,A4 1ª serie,s,161
3154,A4 2ª serie,s,161
3516,A4 3ª serie,s,161
3791,A4 4ª serie,s,161
4376,A4 5ª serie,s,161
3897,A4 allroad 1ª serie,s,161
4414,A4 allroad 2ª serie,s,161
3766,A5 1ª serie,s,161
4446,A5 2ª serie,s,161
2623,A6 1ª serie,s,161
2916,A6 2ª serie,s,161
3468,A6 3ª serie,s,161
4019,A6 4ª serie,s,161
4560,A6 5ª serie,s,161
3128,A6 allroad 1ª serie,s,161
3670,A6 allroad 2ª serie,s,161
4117,A6 allroad 3ª serie,s,161
4637,A6 allroad 4ª serie,s,161
3989,A7 1ª serie,s,161
4547,A7 2ª serie,s,161
2485,A8 1ª serie,s,161
3353,A8 2ª serie,s,161
3945,A8 3ª serie,s,161
4532,A8 4ª serie,s,161
161,Coupé/Quattro,s,161
4609,e-tron,s,161
4766,e-tron GT,s,161
4444,Q2,s,161
4053,Q3,s,161
4595,Q3 2ª serie,s,161
4787,Q4 e-tron,s,161
3866,Q5 1ª serie,s,161
4459,Q5 2ª serie,s,161
3626,Q7 1ª serie,s,161
4344,Q7 2ª serie,s,161
4429,Q7 e-tron,s,161
4569,Q8,s,161
3728,R8 1ª serie,s,161
4370,R8 2ª serie,s,161
3031,TT 1ª serie,s,161
3691,TT 2ª serie,s,161
4294,TT 3ª serie,s,161
169,Maestro,n,80
168,Metro,n,80
167,Mini,n,80
170,Montego,n,80
173,A112,n,35
174,Y10,n,35
330,A2 (A 220/A 275),s,515
3334,Midi,n,923
3173,Rascal,n,923
3492,Asso,s,1504
4409,B8,s,1504
3326,Divane,s,1504
3993,Jade 2,s,1504
3661,Opale,s,1504
3294,Sturdy,s,1504
3065,VX,s,1504
3047,Arnage,s,70
3686,Azure,s,70
4418,Bentayga,s,70
559,Berlina,s,70
3823,Brooklands,s,70
3449,Continental 2ª s.,s,70
4593,Continental 3ª s.,s,70
178,Continental/Azure,s,70
3320,Corniche,s,70
4196,Flying Spur,s,70
4007,Mulsanne,s,70
3318,T/T2,s,70
2298,4x4,n,49
364,Cabrio/Supercabrio,s,49
1624,Freeclimber,n,49
365,X1/9 2ª serie,s,49
1954,Passo,n,1362
4306,Birò,s,2772
4223,i3            (I01),s,85
4801,i4,s,85
4876,i7            (G70),s,85
4254,i8        (I12/I15),s,85
4792,iX            (i20),s,85
4723,iX3           (G08),s,85
3756,Serie 1       (E81),s,85
3495,Serie 1       (E87),s,85
4052,Serie 1       (F20),s,85
4130,Serie 1       (F21),s,85
4632,Serie 1       (F40),s,85
3800,Serie 1 Cabrio(E88),s,85
3783,Serie 1 Coupé (E82),s,85
4275,Serie 2 A.T.  (F45),s,85
4822,Serie 2 A.T.  (U06),s,85
4337,Serie 2 Cabrio(F23),s,85
4231,Serie 2 Coupé (F22),s,85
4805,Serie 2 Coupé (G42),s,85
4663,Serie 2 G.C.  (F44),s,85
4351,Serie 2 G.T.  (F46),s,85
2455,Serie 3       (E21),s,85
2456,Serie 3       (E30),s,85
675,Serie 3       (E36),s,85
3007,Serie 3       (E46),s,85
3687,Serie 3       (E92),s,85
3751,Serie 3       (E93),s,85
3553,Serie 3   (E90/E91),s,85
4080,Serie 3   (F30/F31),s,85
4588,Serie 3 (G20/21/80),s,85
4178,Serie 3 G.T.  (F34),s,85
4240,Serie 4 Cabrio(F33),s,85
4745,Serie 4 Cabrio(G23),s,85
4217,Serie 4 Coupé (F32),s,85
4719,Serie 4 Coupé (G22),s,85
4258,Serie 4 G.C.  (F36),s,85
4800,Serie 4 G.C.  (G26),s,85
2781,Serie 5       (E39),s,85
3399,Serie 5   (E60/E61),s,85
3944,Serie 5   (F10/F11),s,85
4461,Serie 5   (G30/G31),s,85
676,Serie 5 (E12/28/34),s,85
3916,Serie 5 G.T.  (F07),s,85
677,Serie 6       (E24),s,85
3454,Serie 6   (E63/E64),s,85
4017,Serie 6   (F12/F13),s,85
4099,Serie 6 G.C.  (F06),s,85
4509,Serie 6 G.T.  (G32),s,85
2596,Serie 7       (E38),s,85
678,Serie 7   (E23/E32),s,85
3240,Serie 7   (E65/E66),s,85
4366,Serie 7   (G11/G12),s,85
3862,Serie 7 (F01/02/04),s,85
1681,Serie 8       (E31),s,85
4601,Serie 8   (G14/F91),s,85
4571,Serie 8   (G15/F92),s,85
4635,Serie 8 G.C. (G16),s,85
3918,X1            (E84),s,85
4367,X1            (F48),s,85
4885,X1            (U11),s,85
4537,X2            (F39),s,85
3457,X3            (E83),s,85
3992,X3            (F25),s,85
4510,X3        (G01/F97),s,85
4268,X4            (F26),s,85
4553,X4        (G02/F98),s,85
3099,X5            (E53),s,85
3733,X5            (E70),s,85
4214,X5        (F15/F85),s,85
4565,X5        (G05/F95),s,85
3819,X6        (E71/E72),s,85
4315,X6        (F16/F86),s,85
4638,X6        (G06/F96),s,85
4592,X7            (G07),s,85
1506,Z1,s,85
2723,Z3,n,85
3362,Z4            (E85),s,85
3887,Z4            (E89),s,85
4596,Z4            (G29),s,85
3110,Z8,s,85
3239,F100/3,s,2326
2778,P8,s,2176
3222,Brick,n,2313
3219,Brio,n,2313
3228,Extreme,n,2313
3265,Job,n,2313
3610,Job X2,n,2313
3611,Job X4,n,2313
3608,Job Xtréme,n,2313
3217,NGR 35,n,2313
3867,T-Rex (2008-2013),s,2313
3218,TGR 35,n,2313
3227,Trek,n,2313
3933,BU100,s,2738
3397,BU 100,n,2350
3287,New Falcon B80,s,2350
2109,EB 110,s,1522
646,Park Avenue,s,81
718,Allanté,s,76
4162,ATS,n,76
3662,BLS,s,76
4468,CT6,n,76
3392,CTS,s,76
4235,CTS (2013--->),s,76
719,Eldorado/Seville,s,76
3577,Escalade,n,76
4349,Escalade (2015--->),s,76
4860,Escalade (2021--->,s,76
725,Fleetwood,s,76
720,Seville,n,76
3543,SRX 1ª s. (2004-09),s,76
4040,SRX 2ª s.(2011-'16),s,76
3593,STS,s,76
3489,XLR,s,76
4707,XT4,s,76
4464,XT5,n,76
3066,Top 500,s,2273
4012,Kerry,s,250
4011,M10,s,250
4060,M110,s,250
4184,M12,s,250
4271,M14,s,250
4778,M20,s,250
4467,Pick Up,s,250
4183,Pick Up12,s,250
4008,Sulky,s,250
3637,Sulkycar,s,250
1099,Sulkydea/Ydea,s,250
3537,Seven,n,277
6,Super Seven,n,277
3436,Barooder,s,1539
4296,CH26,s,1539
4302,CH28,s,1539
4303,CH32,s,1539
4556,CH40,s,1539
4631,CH46,s,1539
3142,Media,s,1539
3612,Speedino,s,1539
3058,Stella,s,1539
3845,Aveo 1ª serie,s,84
4051,Aveo 2ª serie,s,84
700,Camaro,n,84
4062,Camaro (2011-2014),s,84
4453,Camaro (2016-2021),s,84
3682,Captiva,s,84
245,Corvette C4,s,84
2908,Corvette C5,s,84
4832,Corvette C8 Stingr.,s,84
4502,Corvette GrandSport,n,84
4247,Corvette Stingray,n,84
4400,Corvette Z06,s,84
3901,Cruze,s,84
3672,Epica,s,84
3564,Evanda,n,84
3811,HHR,s,84
3548,Kalos,n,84
3565,Lacetti,n,84
4151,Malibu,n,84
3549,Matiz 1ª serie,s,84
3591,Matiz 2ª serie,s,84
3551,Nubira 2ª serie,s,84
4024,Orlando,s,84
848,S-Blazer 1ª serie,s,84
2508,S-Blazer 2ª serie,s,84
4712,Silverado,n,84
3947,Spark,s,84
3546,Tacuma,n,84
3124,Tahoe,s,84
3244,TrailBlazer,n,84
2876,Trans Sport,s,84
4185,Trax,n,84
4088,Volt,s,84
3589,300 C,n,87
3017,300 M,n,87
3385,Crossfire,s,87
3832,Gr.Voyager (08-10),s,87
2418,Neon,n,87
2480,New Yorker,s,87
3115,PT Cruiser,s,87
3162,Sebring 2ª serie,s,87
3767,Sebring 3ª serie,s,87
2489,Stratus,s,87
2332,Viper,n,87
2337,Vision,s,87
1692,Voy./G.Voyager 1ª s,s,87
2803,Voy./G.Voyager 2ª s,s,87
3108,Voy./G.Voyager 3ª s,s,87
121,2CV,n,91
4771,Ami (2021),s,91
438,AX,n,91
124,Axel,s,91
2902,Berlingo,n,91
3837,Berlingo 2ª serie,s,91
4567,Berlingo 3ª serie,s,91
126,BX,n,91
3765,C-Crosser,n,91
4411,C-Elysée,n,91
3984,C-Zero,s,91
3571,C1,n,91
4259,C1 2ª serie,s,91
3367,C15,n,91
3401,C2,s,91
3241,C3 1ª serie,s,91
3928,C3 2ª serie,s,91
4455,C3 3ª serie,s,91
4519,C3 Aircross,s,91
3896,C3 Picasso,s,91
3517,C4,n,91
3864,C4 2ª serie,s,91
4730,C4 3ª serie,s,91
4121,C4 Aircross,n,91
4276,C4 Cactus,n,91
4205,C4 Picasso,n,91
4557,C4 SpaceTourer,s,91
3165,C5 1ª serie,s,91
3519,C5 2ª serie,s,91
3826,C5 3ª serie,s,91
4587,C5 Aircross,s,91
4819,C5 X,s,91
3582,C6,n,91
3312,C8,n,91
127,CX,n,91
4518,e-Berlingo,s,91
4731,e-C4,s,91
4830,e-Jumper,s,91
4739,e-Jumpy,s,91
4440,e-Mehari,n,91
4742,e-SpaceTourer,s,91
2538,Evasion,n,91
4216,Grand C4 Picasso,n,91
4558,Grand C4 SpaceTour.,s,91
1516,GS/GSA,s,91
3190,Jumper (1ª serie),s,91
3313,Jumper (2ª serie),s,91
3688,Jumper (3ª serie),s,91
3186,Jumpy (1ª serie),s,91
3461,Jumpy (2ª serie),s,91
3739,Jumpy (3ª serie),s,91
4432,Jumpy (4ª serie),s,91
1526,LN/LNA,s,91
440,Mehari,s,91
3809,Nemo,s,91
2819,Saxo,n,91
4448,SpaceTourer,s,91
125,Visa,n,91
2378,Xantia,n,91
1559,XM,n,91
2972,Xsara,n,91
2037,ZX,n,91
2203,Spazia,s,1859
3491,Electric Mistry,s,2309
3286,Gipsy 500,s,2309
3899,Giove,s,2737
3898,Saturno,s,2737
3233,Volpino,s,2320
3237,Furia,n,2322
3234,Ribot 1ª serie,s,2322
3835,Ribot 2ª serie,s,2322
3544,Corvette C6,s,2405
4589,Ateca,s,2782
4814,Born,s,2782
4724,Formentor,s,2782
4740,Leon,s,2782
4140,Dokker,n,18
3964,Duster 1ª serie,s,18
4544,Duster 2ª serie,s,18
4843,Jogger,s,18
4125,Lodgy,n,18
3528,Logan 1ª serie,s,18
