id,AM_code,description,full_description,fuel_id,year,body_type_id,category_id,cubic_capacity,last_registration,sales_end_date,first_registration,sales_start_date,month,vehicle_model_id
113723,201603113723,124 Spider 1.4 Turbo MultiAir 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV,1,2016,6,A,1368,201803,201803,201603,201603,3,4410
113724,201603113724,124 Spider 1.4 Turbo MultiAir AT 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV,1,2016,6,A,1368,201803,201803,201603,201603,3,4410
120448,201703120448,124 Spider 1.4 Turbo MultiAir 170 CV Scorpione,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV Scorpione,1,2017,6,A,1368,201803,201803,201703,201703,3,4410
120449,201703120449,124 Spider 1.4 Turbo MultiAir AT 170 CV Scorpione,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV Scorpione,1,2017,6,A,1368,201803,201803,201703,201703,3,4410
113723,201803113723,124 Spider 1.4 Turbo MultiAir 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
113724,201803113724,124 Spider 1.4 Turbo MultiAir AT 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
125102,201803125102,124 Spider 1.4 Turbo MultiAir 170 CV Turismo,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV Turismo,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
125103,201803125103,124 Spider 1.4 Turbo MultiAir AT 170 CV Turismo,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV Turismo,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
125116,201803125116,124 Spider 1.4 Turbo MultiAir 170 CV GT,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV GT,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
125117,201803125117,124 Spider 1.4 Turbo MultiAir AT 170 CV GT,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV GT,1,2018,6,A,1368,201809,201809,201803,201803,3,4410
113723,201809113723,124 Spider 1.4 Turbo MultiAir 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
113724,201809113724,124 Spider 1.4 Turbo MultiAir AT 170 CV,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
125102,201809125102,124 Spider 1.4 Turbo MultiAir 170 CV Turismo,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV Turismo,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
125103,201809125103,124 Spider 1.4 Turbo MultiAir AT 170 CV Turismo,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV Turismo,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
125116,201809125116,124 Spider 1.4 Turbo MultiAir 170 CV GT,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV GT,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
125117,201809125117,124 Spider 1.4 Turbo MultiAir AT 170 CV GT,ABARTH 124 Spider 1.4 Turbo MultiAir AT 170 CV GT,1,2018,6,A,1368,201912,201912,201809,201809,9,4410
135265,201906135265,124 Spider 1.4 Turbo MultiAir 170 CV R-GT Tribute,ABARTH 124 Spider 1.4 Turbo MultiAir 170 CV R-GT Tribute,1,2019,6,A,1368,201912,201912,201906,201906,6,4410
78403,20080778403,500 1.4 Turbo T-Jet,ABARTH 500 1.4 Turbo T-Jet,1,2008,1,A,1368,201107,200810,200807,200807,7,3857
78403,20081078403,500 1.4 Turbo T-Jet,ABARTH 500 1.4 Turbo T-Jet,1,2008,1,A,1368,201207,201207,200901,200810,10,3857
86197,20100686197,500 C 1.4 Turbo T-Jet MTA,ABARTH 500 C 1.4 Turbo T-Jet MTA,1,2010,6,A,1368,201207,201207,201006,201006,6,3857
86198,20100686198,500 C 1.4 Turbo T-Jet MTA Bicolore,ABARTH 500 C 1.4 Turbo T-Jet MTA Bicolore,1,2010,6,A,1368,201207,201207,201006,201006,6,3857
89589,20110389589,500 C 1.4 Turbo T-Jet,ABARTH 500 C 1.4 Turbo T-Jet,1,2011,6,A,1368,201207,201207,201103,201103,3,3857
78403,20120778403,500 1.4 Turbo T-Jet,ABARTH 500 1.4 Turbo T-Jet,1,2012,1,A,1368,201303,201303,201207,201207,7,3857
86197,20120786197,500 C 1.4 Turbo T-Jet MTA,ABARTH 500 C 1.4 Turbo T-Jet MTA,1,2012,6,A,1368,201303,201303,201207,201207,7,3857
89589,20120789589,500 C 1.4 Turbo T-Jet,ABARTH 500 C 1.4 Turbo T-Jet,1,2012,6,A,1368,201303,201303,201207,201207,7,3857
96521,20120796521,500 1.4 Turbo T-Jet MTA,ABARTH 500 1.4 Turbo T-Jet MTA,1,2012,1,A,1368,201303,201303,201207,201207,7,3857
98953,20130398953,500 1.4 Turbo T-Jet Custom,ABARTH 500 1.4 Turbo T-Jet Custom,1,2013,1,A,1368,201311,201311,201303,201303,3,3857
98954,20130398954,500 1.4 Turbo T-Jet MTA Custom,ABARTH 500 1.4 Turbo T-Jet MTA Custom,1,2013,1,A,1368,201312,201312,201303,201303,3,3857
98961,20130398961,500 C 1.4 Turbo T-Jet Custom,ABARTH 500 C 1.4 Turbo T-Jet Custom,1,2013,6,A,1368,201311,201311,201303,201303,3,3857
98962,20130398962,500 C 1.4 Turbo T-Jet MTA Custom,ABARTH 500 C 1.4 Turbo T-Jet MTA Custom,1,2013,6,A,1368,201312,201312,201303,201303,3,3857
98953,20131198953,500 1.4 Turbo T-Jet Custom,ABARTH 500 1.4 Turbo T-Jet Custom,1,2013,1,A,1368,201506,201506,201311,201311,11,3857
98961,20131198961,500 C 1.4 Turbo T-Jet Custom,ABARTH 500 C 1.4 Turbo T-Jet Custom,1,2013,6,A,1368,201506,201506,201311,201311,11,3857
98954,20131298954,500 1.4 Turbo T-Jet MTA Custom,ABARTH 500 1.4 Turbo T-Jet MTA Custom,1,2013,1,A,1368,201506,201506,201312,201312,12,3857
98962,20131298962,500 C 1.4 Turbo T-Jet MTA Custom,ABARTH 500 C 1.4 Turbo T-Jet MTA Custom,1,2013,6,A,1368,201506,201506,201312,201312,12,3857
96513,20120796513,595 1.4 Turbo T-Jet 160 CV Turismo,ABARTH 595 1.4 Turbo T-Jet 160 CV Turismo,1,2012,1,A,1368,201312,201312,201201,201207,7,4139
96514,20120796514,595 1.4 Turbo T-Jet 160 CV Competizione,ABARTH 595 1.4 Turbo T-Jet 160 CV Competizione,1,2012,1,A,1368,201312,201312,201201,201207,7,4139
96515,20120796515,595 1.4 Turbo T-Jet 160 CV MTA Competizione,ABARTH 595 1.4 Turbo T-Jet 160 CV MTA Competizione,1,2012,1,A,1368,201312,201312,201207,201207,7,4139
96516,20120796516,595 1.4 Turbo T-Jet 160 CV MTA Turismo,ABARTH 595 1.4 Turbo T-Jet 160 CV MTA Turismo,1,2012,1,A,1368,201312,201312,201207,201207,7,4139
96517,20120796517,595 C 1.4 Turbo T-Jet 160 CV Turismo,ABARTH 595 C 1.4 Turbo T-Jet 160 CV Turismo,1,2012,6,A,1368,201312,201312,201207,201207,7,4139
96518,20120796518,595 C 1.4 Turbo T-Jet 160 CV Competizione,ABARTH 595 C 1.4 Turbo T-Jet 160 CV Competizione,1,2012,6,A,1368,201312,201312,201207,201207,7,4139
96519,20120796519,595 C 1.4 Turbo T-Jet 160 CV MTA Competizione,ABARTH 595 C 1.4 Turbo T-Jet 160 CV MTA Competizione,1,2012,6,A,1368,201312,201312,201207,201207,7,4139
96520,20120796520,595 C 1.4 Turbo T-Jet 160 CV MTA Turismo,ABARTH 595 C 1.4 Turbo T-Jet 160 CV MTA Turismo,1,2012,6,A,1368,201312,201312,201207,201207,7,4139
96513,20131296513,595 1.4 Turbo T-Jet 160 CV Turismo,ABARTH 595 1.4 Turbo T-Jet 160 CV Turismo,1,2013,1,A,1368,201605,201605,201312,201312,12,4139
96514,20131296514,595 1.4 Turbo T-Jet 160 CV Competizione,ABARTH 595 1.4 Turbo T-Jet 160 CV Competizione,1,2013,1,A,1368,201503,201503,201312,201312,12,4139
96515,20131296515,595 1.4 Turbo T-Jet 160 CV MTA Competizione,ABARTH 595 1.4 Turbo T-Jet 160 CV MTA Competizione,1,2013,1,A,1368,201503,201503,201312,201312,12,4139
96516,20131296516,595 1.4 Turbo T-Jet 160 CV MTA Turismo,ABARTH 595 1.4 Turbo T-Jet 160 CV MTA Turismo,1,2013,1,A,1368,201605,201605,201312,201312,12,4139
96517,20131296517,595 C 1.4 Turbo T-Jet 160 CV Turismo,ABARTH 595 C 1.4 Turbo T-Jet 160 CV Turismo,1,2013,6,A,1368,201605,201605,201312,201312,12,4139
96518,20131296518,595 C 1.4 Turbo T-Jet 160 CV Competizione,ABARTH 595 C 1.4 Turbo T-Jet 160 CV Competizione,1,2013,6,A,1368,201503,201503,201312,201312,12,4139
96519,20131296519,595 C 1.4 Turbo T-Jet 160 CV MTA Competizione,ABARTH 595 C 1.4 Turbo T-Jet 160 CV MTA Competizione,1,2013,6,A,1368,201503,201503,201312,201312,12,4139
96520,20131296520,595 C 1.4 Turbo T-Jet 160 CV MTA Turismo,ABARTH 595 C 1.4 Turbo T-Jet 160 CV MTA Turismo,1,2013,6,A,1368,201605,201605,201312,201312,12,4139
108589,201503108589,595 1.4 Turbo T-Jet 180 CV Competizione,ABARTH 595 1.4 Turbo T-Jet 180 CV Competizione,1,2015,1,A,1368,201605,201605,201503,201503,3,4139
108590,201503108590,595 1.4 Turbo T-Jet 180 CV MTA Competizione,ABARTH 595 1.4 Turbo T-Jet 180 CV MTA Competizione,1,2015,1,A,1368,201605,201605,201503,201503,3,4139
108591,201503108591,595 C 1.4 Turbo T-Jet 180 CV Competizione,ABARTH 595 C 1.4 Turbo T-Jet 180 CV Competizione,1,2015,6,A,1368,201605,201605,201503,201503,3,4139
108592,201503108592,595 C 1.4 Turbo T-Jet 180 CV MTA Competizione,ABARTH 595 C 1.4 Turbo T-Jet 180 CV MTA Competizione,1,2015,6,A,1368,201605,201605,201503,201503,3,4139
110675,201506110675,595 1.4 Turbo T-Jet 140 CV,ABARTH 595 1.4 Turbo T-Jet 140 CV,1,2015,1,A,1368,201509,201509,201506,201506,6,4139
110676,201506110676,595 1.4 Turbo T-Jet 140 CV MTA,ABARTH 595 1.4 Turbo T-Jet 140 CV MTA,1,2015,1,A,1368,201509,201509,201506,201506,6,4139
